Year_Lpr,Month_Lpr,Jumlah Laporan
2020,1,12544
2020,2,12937
2020,3,11767
2020,4,11095
2020,5,11923
2020,6,12182
2020,7,12505
2020,8,12391
2020,9,11755
2020,10,11917
2020,11,11421
2020,12,11425
2021,1,11916
2021,2,11300
2021,3,12228
2021,4,12089
2021,5,12795
2021,6,13061
2021,7,14429
2021,8,13825
2021,9,13740
2021,10,14176
2021,11,13720
2021,12,13048
2022,1,13490
2022,2,13340
2022,3,14889
2022,4,14877
2022,5,15463
2022,6,15332
2022,7,14782
2022,8,15474
2022,9,14698
2022,10,15197
2022,11,13988
2022,12,15334
2023,1,14906
2023,2,14008
2023,3,14101
2023,4,13546
2023,5,14091
2023,6,13789
2023,7,14506
2023,8,14473
2023,9,13730
2023,10,14331
2023,11,13476
2023,12,13402
2024,1,8752
