Year_Occ,Month_Occ,Jumlah Kejadian
2020,1,14566
2020,2,13563
2020,3,12236
2020,4,11510
2020,5,12483
2020,6,12405
2020,7,12719
2020,8,12629
2020,9,11828
2020,10,12250
2020,11,11675
2020,12,11790
2021,1,12267
2021,2,11388
2021,3,12325
2021,4,12111
2021,5,12941
2021,6,13033
2021,7,14389
2021,8,13905
2021,9,13886
2021,10,14401
2021,11,13659
2021,12,13140
2022,1,13607
2022,2,13344
2022,3,14804
2022,4,14878
2022,5,15240
2022,6,15303
2022,7,14959
2022,8,15121
2022,9,14618
2022,10,15353
2022,11,13927
2022,12,15098
2023,1,14652
2023,2,13681
2023,3,13811
2023,4,13334
2023,5,13564
2023,6,13460
2023,7,14289
2023,8,14130
2023,9,13468
2023,10,13949
2023,11,12809
2023,12,12693
2024,1,6973
